speaker_id;file_name;sample_name;birth_place;native_langs;other_langs;age;sex;age_of_english_onset;english_learning_method;english_residence;years_of_english_residence;class_labels;primary_lang_group;secondary_lang_group;primary_lang_group_id;secondary_lang_group_id
703;english215;english215;lemington spa, warwickshire, uk;english;spanish italian yiddish;20;male;0;naturalistic;uk, ireland, usa;20;43;Indo-European;Germanic;5;503
704;english216;english216;chicago, illinois, usa;english;spanish;48;female;0;naturalistic;usa;48;43;Indo-European;Germanic;5;503
705;english217;english217;harrow, middlesex, uk;english;french german spanish italian japanese;66;male;0;naturalistic;uk, usa;66;43;Indo-European;Germanic;5;503
706;english218;english218;abingdon, virginia, usa;english;latin spanish;27;female;0;naturalistic;usa;27;43;Indo-European;Germanic;5;503
707;english219;english219;oakland, california, usa;english;spanish;38;female;0;naturalistic;usa;38;43;Indo-European;Germanic;5;503
708;english220;english220;anaheim, california, usa;english;none;18;female;0;naturalistic;usa;18;43;Indo-European;Germanic;5;503
709;english221;english221;london, uk;english;yoruba;45;male;0;naturalistic;uk, australia, usa;45;43;Indo-European;Germanic;5;503
710;english222;english222;auburn, indiana, usa;english;none;18;female;0;naturalistic;usa;18;43;Indo-European;Germanic;5;503
711;english223;english223;erie, pennsylvania, usa;english;none;18;male;0;naturalistic;usa;18;43;Indo-European;Germanic;5;503
712;english224;english224;bridgetown, barbados;english;spanish french;20;male;0;naturalistic;barbados;20;43;Indo-European;Germanic;5;503
713;english225;english225;dundee, scotland, uk;english;italian;50;male;0;naturalistic;scotland, usa;50;43;Indo-European;Germanic;5;503
714;english226;english226;walton-on-thames, surrey, uk;english;none;38;male;0;naturalistic;uk, usa;38;43;Indo-European;Germanic;5;503
715;english227;english227;camberley, surrey, uk;english;none;42;female;0;naturalistic;uk, usa;42;43;Indo-European;Germanic;5;503
716;english228;english228;glasgow, scotland, uk;english;french german krio;59;female;0;naturalistic;scotland, usa, sierra leone;59;43;Indo-European;Germanic;5;503
717;english229;english229;burlington, vermont, usa;english;french;25;male;0;naturalistic;usa;25;43;Indo-European;Germanic;5;503
718;english230;english230;launceston, tasmania, australia;english;none;35;male;0;naturalistic;australia;35;43;Indo-European;Germanic;5;503
719;english231;english231;tampa, florida, usa;english;spanish;22;male;0;naturalistic;usa;22;43;Indo-European;Germanic;5;503
720;english233;english233;edmonton, alberta, canada;english;french;26;female;0;naturalistic;canada;26;43;Indo-European;Germanic;5;503
721;english234;english234;bloomington, indiana, usa;english;portuguese spanish american sign language;49;male;0;naturalistic;usa;49;43;Indo-European;Germanic;5;503
722;english235;english235;richmond, virginia, usa;english;spanish;52;female;0;naturalistic;usa;52;43;Indo-European;Germanic;5;503
723;english232;english232;metairie, louisiana, usa;english;italian spanish;32;female;0;naturalistic;usa;32;43;Indo-European;Germanic;5;503
724;english236;english236;st. charles, illinois, usa;english;german french;44;male;0;naturalistic;usa;34;43;Indo-European;Germanic;5;503
725;english237;english237;jeffersonville, ohio, usa;english;spanish;22;female;0;naturalistic;usa;22;43;Indo-European;Germanic;5;503
726;english238;english238;vancouver, british  columbia, canada;english;german french japanese;21;female;0;naturalistic;canada;21;43;Indo-European;Germanic;5;503
727;english239;english239;fort kobbe, panama;english;japanese punjabi;19;male;0;naturalistic;usa;18;43;Indo-European;Germanic;5;503
728;english240;english240;guelph, ontario, canada;english;french;26;male;0;naturalistic;canada;26;43;Indo-European;Germanic;5;503
729;english241;english241;wanganui, new zealand;english;italian portuguese;52;female;0;naturalistic;new zealand;29;43;Indo-European;Germanic;5;503
730;english242;english242;laurel, mississippi, usa;english;none;77;female;0;naturalistic;usa;77;43;Indo-European;Germanic;5;503
731;english243;english243;fredericton, new brunswick, canada;english;french;27;male;0;naturalistic;canada;27;43;Indo-European;Germanic;5;503
732;english244;english244;san francisco, california, usa;english;spanish;23;male;0;naturalistic;usa;13;43;Indo-European;Germanic;5;503
733;english245;english245;pittsburgh, pennsylvania, usa;english;japanese spanish;25;male;0;naturalistic;usa;22;43;Indo-European;Germanic;5;503
734;english246;english246;los angeles, california, usa;english;none;32;male;0;naturalistic;usa;32;43;Indo-European;Germanic;5;503
735;english247;english247;prince rupert, british columbia, canada;english;japanese;33;male;0;naturalistic;canada;25;43;Indo-European;Germanic;5;503
736;english248;english248;philadelphia, pennsylvania, usa;english;french;18;female;0;naturalistic;usa;18;43;Indo-European;Germanic;5;503
737;english249;english249;boston, massachusetts, usa;english;spanish;29;female;0;naturalistic;usa;29;43;Indo-European;Germanic;5;503
738;english250;english250;chester, england, uk;english;none;19;male;0;naturalistic;uk;19;43;Indo-European;Germanic;5;503
739;english251;english251;mt. kisco, new york, usa;english;french spanish italian japanese;21;male;0;naturalistic;usa;21;43;Indo-European;Germanic;5;503
740;english252;english252;san jose ca, california, usa;english;german;25;female;0;naturalistic;usa;25;43;Indo-European;Germanic;5;503
741;english253;english253;dublin, ireland;english;gaelic french;21;male;0;naturalistic;ireland;21;43;Indo-European;Germanic;5;503
742;english254;english254;eugene, oregon, usa;english;spanish;39;male;0;naturalistic;usa;39;43;Indo-European;Germanic;5;503
743;english255;english255;oamaru, new zealand;english;cantonese japanese;24;female;0;naturalistic;new zealand;24;43;Indo-European;Germanic;5;503
744;english256;english256;laurinburg, north carolina, usa;english;none;23;male;0;naturalistic;usa;23;43;Indo-European;Germanic;5;503
745;english257;english257;san diego, california, usa;english;none;24;male;0;naturalistic;usa;24;43;Indo-European;Germanic;5;503
746;english258;english258;kilkenny, ireland;english;irish french german dutch spanish;24;male;0;naturalistic;ireland;23;43;Indo-European;Germanic;5;503
747;english259;english259;singapore, singapore;english;mandarin cantonese hokkien;23;male;0;naturalistic;singapore;23;43;Indo-European;Germanic;5;503
748;english260;english260;phoenix, arizona, usa;english;none;18;female;0;naturalistic;usa;18;43;Indo-European;Germanic;5;503
749;english261;english261;forestville, maryland, usa;english;spanish;59;female;0;naturalistic;usa;59;43;Indo-European;Germanic;5;503
750;english262;english262;naylor, maryland, usa;english;german;60;male;0;naturalistic;usa;60;43;Indo-European;Germanic;5;503
751;english263;english263;oak forest, illinois, usa;english;spanish;21;male;0;naturalistic;usa;21;43;Indo-European;Germanic;5;503
752;english264;english264;freemont, california, usa;english;french german;21;male;0;naturalistic;usa;21;43;Indo-European;Germanic;5;503
753;english265;english265;vancouver wa, washington, usa;english;korean german;31;male;0;naturalistic;usa;27;43;Indo-European;Germanic;5;503
754;english266;english266;san diego, california, usa;english;french spanish;18;male;0;;usa;18;43;Indo-European;Germanic;5;503
755;english267;english267;leeds, uk;english;french;66;male;0;naturalistic;uk;66;43;Indo-European;Germanic;5;503
756;english268;english268;leeds, uk;english;french german;67;female;0;naturalistic;uk;67;43;Indo-European;Germanic;5;503
757;english269;english269;adelaide, australia;english;french;22;female;0;naturalistic;australia, uk, usa;22;43;Indo-European;Germanic;5;503
758;english270;english270;cape town, south africa;english;afrikaans french;29;male;0;naturalistic;south africa;29;43;Indo-European;Germanic;5;503
759;english271;english271;cape town, south africa;english;afrikaans french;32;female;0;naturalistic;south africa;32;43;Indo-European;Germanic;5;503
760;english272;english272;dallas, texas, usa;english;spanish;20;male;0;naturalistic;usa;20;43;Indo-European;Germanic;5;503
761;english273;english273;blue bell, pennsylvania, usa;english;german;46;male;0;naturalistic;usa;46;43;Indo-European;Germanic;5;503
762;english274;english274;sydney, australia;english;hokkien mandarin;25;female;0;naturalistic;australia;25;43;Indo-European;Germanic;5;503
763;english275;english275;clifton, new jersey, usa;english;none;20;female;0;naturalistic;usa;20;43;Indo-European;Germanic;5;503
764;english276;english276;chattanooga, tennessee, usa;english;none;50;female;0;naturalistic;usa;50;43;Indo-European;Germanic;5;503
765;english277;english277;hudson, new york, usa;english;german;48;female;0;naturalistic;usa;42;43;Indo-European;Germanic;5;503
766;english278;english278;augusta, georgia, usa;english;none;18;female;0;naturalistic;usa;18;43;Indo-European;Germanic;5;503
767;english279;english279;singapore, singapore;english;mandarin hainanese;30;female;0;naturalistic;singapore;30;43;Indo-European;Germanic;5;503
768;english280;english280;ramsey, isle of man;english;none;19;female;0;naturalistic;isle of man;19;43;Indo-European;Germanic;5;503
769;english281;english281;ramsey mn, minnesota, usa;english;french;23;male;0;naturalistic;usa;23;43;Indo-European;Germanic;5;503
770;english282;english282;tampa, florida, usa;english;none;20;male;0;naturalistic;usa;20;43;Indo-European;Germanic;5;503
771;english283;english283;pelham, new york, usa;english;spanish;18;male;0;naturalistic;usa;18;43;Indo-European;Germanic;5;503
772;english284;english284;gainesville, florida, usa;english;spanish;33;male;0;naturalistic;usa;33;43;Indo-European;Germanic;5;503
773;english285;english285;melbourne, australia;english;none;50;male;0;naturalistic;australia, hong kong, usa;50;43;Indo-European;Germanic;5;503
774;english286;english286;beaumont, texas, usa;english;french latin hebrew spanish;21;female;0;naturalistic;usa;21;43;Indo-European;Germanic;5;503
775;english287;english287;singapore, singapore;english;cantonese mandarin japanese;27;female;0;naturalistic;singapore;27;43;Indo-European;Germanic;5;503
776;english288;english288;st. louis, missouri, usa;english;none;26;female;0;naturalistic;usa;26;43;Indo-European;Germanic;5;503
777;english289;english289;fairfax, virginia, usa;english;italian spanish latin french;19;female;0;naturalistic;usa;19;43;Indo-European;Germanic;5;503
778;english290;english290;duluth, georgia, usa;english;none;20;male;0;naturalistic;usa;20;43;Indo-European;Germanic;5;503
779;english291;english291;belize city, belize;english;spanish creole dutch;18;male;0;naturalistic;belize, usa;18;43;Indo-European;Germanic;5;503
780;english292;english292;kansas city, missouri, usa;english;none;38;male;0;naturalistic;usa;38;43;Indo-European;Germanic;5;503
781;english293;english293;billings, montana, usa;english;none;22;female;0;naturalistic;usa;22;43;Indo-European;Germanic;5;503
782;english294;english294;naracoorte, australia;english;indonesian french;19;female;0;naturalistic;australia, usa;19;43;Indo-European;Germanic;5;503
783;english295;english295;airdrie, alberta, canada;english;french german italian;25;male;0;naturalistic;canada;25;43;Indo-European;Germanic;5;503
784;english296;english296;edmonton, alberta, canada;english;french;18;female;0;naturalistic;canada;18;43;Indo-European;Germanic;5;503
785;english297;english297;lindenhurst, new york, usa;english;german;19;male;0;naturalistic;usa;19;43;Indo-European;Germanic;5;503
786;english298;english298;lismore, new south wales, australia;english;none;22;male;0;naturalistic;australia;22;43;Indo-European;Germanic;5;503
787;english299;english299;windsor, ontario, canada;english;japanese;59;male;0;naturalistic;usa;59;43;Indo-European;Germanic;5;503
788;english300;english300;dublin, ireland;english;irish;18;male;0;naturalistic;ireland;18;43;Indo-European;Germanic;5;503
789;english301;english301;toronto, ontario, canada;english;none;41;male;0;naturalistic;canada;41;43;Indo-European;Germanic;5;503
790;english302;english302;melbourne, australia;english;finnish;22;male;0;naturalistic;australia;22;43;Indo-European;Germanic;5;503
791;english303;english303;anaheim, california, usa;english;arabic;45;female;0;naturalistic;usa;45;43;Indo-European;Germanic;5;503
792;english304;english304;clare, ireland;english;irish french;20;female;0;naturalistic;ireland;20;43;Indo-European;Germanic;5;503
793;english306;english306;london, uk;english;none;24;female;0;naturalistic;uk, usa;24;43;Indo-European;Germanic;5;503
794;english305;english305;la paz, bolivia;english;arabic spanish;24;female;0;naturalistic;uk, usa;7;43;Indo-European;Germanic;5;503
795;english307;english307;alexandria, va, usa;english;spanish;48;male;0;naturalistic;usa, new zealand;48;43;Indo-European;Germanic;5;503
796;english308;english308;cardiff, wales, uk;english;welsh;34;male;0;naturalistic;uk, new zealand;34;43;Indo-European;Germanic;5;503
797;english309;english309;dunedin, new zealand;english;german french maori japanese;44;female;0;naturalistic;new zealand;44;43;Indo-European;Germanic;5;503
798;english310;english310;oxford, uk;english;punjabi;37;female;0;naturalistic;uk, usa;22;43;Indo-European;Germanic;5;503
799;english311;english311;detroit, michigan, usa;english;none;38;female;0;naturalistic;usa;38;43;Indo-European;Germanic;5;503
800;english312;english312;edmonton, alberta, canada;english;french;40;female;0;naturalistic;canada;40;43;Indo-European;Germanic;5;503
801;english313;english313;silver spring, maryland, usa;english;spanish;28;male;0;naturalistic;usa;28;43;Indo-European;Germanic;5;503
802;english314;english314;memphis, tennessee, usa;english;french;26;female;0;naturalistic;usa;26;43;Indo-European;Germanic;5;503
803;english315;english315;los angeles, california, usa;english;none;25;male;0;naturalistic;usa;25;43;Indo-European;Germanic;5;503
804;english316;english316;sacramento, california, usa;english;none;33;male;0;naturalistic;usa;33;43;Indo-European;Germanic;5;503
805;english317;english317;burlington, vermont, usa;english;none;26;male;0;naturalistic;usa;26;43;Indo-European;Germanic;5;503
806;english318;english318;sarnia, ontario, canada;english;none;46;male;0;naturalistic;canada;46;43;Indo-European;Germanic;5;503
807;english319;english319;grimsby, lincolnshire, uk;english;none;29;male;0;naturalistic;uk;29;43;Indo-European;Germanic;5;503
808;english320;english320;maryland county, liberia;english;grebo;59;female;0;naturalistic;liberia, usa;59;43;Indo-European;Germanic;5;503
809;english321;english321;brooklyn, new york, usa;english;yiddish french hebrew;52;male;0;naturalistic;usa;52;43;Indo-European;Germanic;5;503
810;english322;english322;yorkton, saskatchewan, canada;english;none;29;male;0;naturalistic;canada;29;43;Indo-European;Germanic;5;503
811;english323;english323;regina, saskatchewan, canada;english;none;31;female;0;naturalistic;canada;31;43;Indo-European;Germanic;5;503
812;english324;english324;st. marys, ontario, canada;english;french;28;male;0;naturalistic;canada;28;43;Indo-European;Germanic;5;503
813;english325;english325;reading, pennsylvania, usa;english;italian;32;male;0;naturalistic;usa;32;43;Indo-European;Germanic;5;503
814;english326;english326;fairborn, ohio, usa;english;none;53;male;0;naturalistic;usa;50;43;Indo-European;Germanic;5;503
815;english327;english327;dunedin, florida, usa;english;none;27;male;0;naturalistic;usa;27;43;Indo-European;Germanic;5;503
816;english328;english328;hollywood, florida, usa;english;thai;23;female;0;naturalistic;usa;23;43;Indo-European;Germanic;5;503
817;english329;english329;boise, idaho, usa;english;french;21;female;0;naturalistic;usa;19;43;Indo-European;Germanic;5;503
818;english330;english330;augusta, georgia, usa;english;french;18;female;0;naturalistic;usa;18;43;Indo-European;Germanic;5;503
819;english331;english331;perth, australia;english;none;28;female;0;naturalistic;australia;28;43;Indo-European;Germanic;5;503
820;english332;english332;baltimore, maryland, usa;english;none;20;female;0;naturalistic;usa;20;43;Indo-European;Germanic;5;503
821;english333;english333;spokane, washington, usa;english;none;32;female;0;naturalistic;usa;29;43;Indo-European;Germanic;5;503
822;english334;english334;derby, england, uk;english;none;18;female;0;naturalistic;uk;18;43;Indo-European;Germanic;5;503
823;english335;english335;washington, district of columbia, usa;english;none;6;male;0;naturalistic;usa;6;43;Indo-European;Germanic;5;503
824;english336;english336;baltimore, maryland, usa;english;none;46;female;0;naturalistic;usa;44;43;Indo-European;Germanic;5;503
825;english337;english337;jersey city, new jersey, usa;english;none;84;female;0;naturalistic;usa, canada;84;43;Indo-European;Germanic;5;503
826;english338;english338;sydney, australia;english;french;53;female;0;naturalistic;australia, canada;53;43;Indo-European;Germanic;5;503
827;english339;english339;chicago, illinois, usa;english;none;54;male;0;naturalistic;usa, canada;54;43;Indo-European;Germanic;5;503
828;english340;english340;charleston, west virginia, usa;english;none;19;male;0;naturalistic;usa;19;43;Indo-European;Germanic;5;503
829;english341;english341;new york, new york, usa;english;german;23;female;0;naturalistic;usa;23;43;Indo-European;Germanic;5;503
830;english342;english342;kansas city, missouri, usa;english;none;33;male;0;naturalistic;usa;33;43;Indo-European;Germanic;5;503
831;english343;english343;portland, maine, usa;english;german spanish;23;male;0;naturalistic;usa;23;43;Indo-European;Germanic;5;503
832;english344;english344;lumberton, north carolina, usa;english;french spanish;19;female;0;naturalistic;usa;19;43;Indo-European;Germanic;5;503
833;english345;english345;kansas city, missouri, usa;english;spanish;20;male;0;naturalistic;usa;20;43;Indo-European;Germanic;5;503
834;english346;english346;east hartford, connecticut, usa;english;french;60;male;0;naturalistic;usa;60;43;Indo-European;Germanic;5;503
835;english347;english347;burnsville, minnesota, usa;english;spanish;22;female;0;naturalistic;usa;22;43;Indo-European;Germanic;5;503
836;english348;english348;las pinas, philippines;english;tagalog;20;female;0;naturalistic;philippines;20;43;Indo-European;Germanic;5;503
837;english349;english349;warrenton, virginia, usa;english;none;24;female;0;naturalistic;usa;24;43;Indo-European;Germanic;5;503
838;english350;english350;polesworth, staffordshire, uk;english;none;18;female;0;naturalistic;uk;18;43;Indo-European;Germanic;5;503
839;english351;english351;carthage, missouri, usa;english;none;37;male;0;naturalistic;usa;37;43;Indo-European;Germanic;5;503
840;english352;english352;singapore, singapore;english;mandarin hokkien cantonese hainanese;25;male;0;naturalistic;singapore;25;43;Indo-European;Germanic;5;503
841;english353;english353;saskatoon, saskatchewan, canada;english;french;18;male;0;naturalistic;canada;18;43;Indo-European;Germanic;5;503
842;english354;english354;christchurch, new zealand;english;maori french german;23;female;0;naturalistic;new zealand, ireland, uk, usa;22;43;Indo-European;Germanic;5;503
843;english355;english355;los angeles, california, usa;english;vietnamese;19;male;0;naturalistic;usa;19;43;Indo-European;Germanic;5;503
844;english356;english356;morden, manitoba, canada;english;none;23;female;0;naturalistic;canada;23;43;Indo-European;Germanic;5;503
845;english357;english357;alto, georgia, usa;english;german;24;male;0;naturalistic;usa;24;43;Indo-European;Germanic;5;503
846;english358;english358;fredericton, new brunswick, canada;english;none;19;male;0;naturalistic;canada;19;43;Indo-European;Germanic;5;503
847;english359;english359;sackville, new brunswick, canada;english;french latin german italian spanish;32;male;0;naturalistic;canada, usa;32;43;Indo-European;Germanic;5;503
848;english360;english360;erie, pennsylvania, usa;english;hebrew;19;female;0;naturalistic;usa;19;43;Indo-European;Germanic;5;503
849;english361;english361;burnsville, minnesota, usa;english;spanish chinese;20;female;0;naturalistic;usa;20;43;Indo-European;Germanic;5;503
850;english362;english362;cork, ireland;english;irish;21;male;0;naturalistic;ireland;21;43;Indo-European;Germanic;5;503
851;english363;english363;castle donington, uk;english;none;20;male;0;naturalistic;uk;20;43;Indo-European;Germanic;5;503
852;english364;english364;sydney, australia;english;french tagalog;28;female;0;naturalistic;australia;24;43;Indo-European;Germanic;5;503
853;english365;english365;oxford, uk;english;french;52;male;0;naturalistic;uk;52;43;Indo-European;Germanic;5;503
854;english366;english366;bournesmouth, uk;english;none;25;female;0;naturalistic;uk;25;43;Indo-European;Germanic;5;503
855;english367;english367;birkenhead, uk;english;french russian;25;female;0;naturalistic;uk;23;43;Indo-European;Germanic;5;503
856;english368;english368;strattford-on-avon, uk;english;french german;43;male;0;naturalistic;uk, singapore;43;43;Indo-European;Germanic;5;503
857;english369;english369;mcminnville, oregon, usa;english;spanish;27;male;0;naturalistic;usa;27;43;Indo-European;Germanic;5;503
858;english370;english370;pondicherry, india;english;french tamil;22;male;0;naturalistic;canada, ireland;16;43;Indo-European;Germanic;5;503
859;english371;english371;colorado springs, colorado, usa;english;french;27;female;0;naturalistic;usa, canada;27;43;Indo-European;Germanic;5;503
860;english372;english372;christiansburg, virginia, usa;english;none;80;male;0;naturalistic;usa;80;43;Indo-European;Germanic;5;503
861;english373;english373;russellville, kentucky, usa;english;none;22;male;0;naturalistic;usa;22;43;Indo-European;Germanic;5;503
862;english374;english374;milford haven, wales, uk;english;welsh;36;male;0;naturalistic;uk;36;43;Indo-European;Germanic;5;503
863;english375;english375;manchester, connecticut, usa;english;spanish;28;male;0;naturalistic;usa, uk;28;43;Indo-European;Germanic;5;503
864;english376;english376;pasadena, california, usa;english;none;46;male;0;naturalistic;usa;46;43;Indo-European;Germanic;5;503
865;english377;english377;trenton, michigan, usa;english;none;32;female;0;naturalistic;usa;32;43;Indo-European;Germanic;5;503
866;english378;english378;silver spring, maryland, usa;english;none;38;female;0;naturalistic;usa;38;43;Indo-European;Germanic;5;503
867;english379;english379;summit, new jersey, usa;english;none;43;male;0;naturalistic;usa;43;43;Indo-European;Germanic;5;503
868;english380;english380;roanoke, virginia, usa;english;spanish french;34;female;0;naturalistic;usa;33;43;Indo-European;Germanic;5;503
869;english381;english381;pike county, kentucky, usa;english;none;85;male;0;naturalistic;usa;85;43;Indo-European;Germanic;5;503
870;english382;english382;arlington, virginia, usa;english;none;34;male;0;naturalistic;usa;29;43;Indo-European;Germanic;5;503
871;english383;english383;washington, district of columbia, usa;english;none;32;female;0;naturalistic;usa;22;43;Indo-European;Germanic;5;503
872;english384;english384;williamson, west virginia, usa;english;none;57;male;0;naturalistic;usa;57;43;Indo-European;Germanic;5;503
873;english385;english385;mcveigh, kentucky, usa;english;none;77;female;0;naturalistic;usa;77;43;Indo-European;Germanic;5;503
874;english386;english386;los angeles, california, usa;english;spanish;56;female;0;naturalistic;usa;56;43;Indo-European;Germanic;5;503
875;english387;english387;lancaster, california, usa;english;spanish;21;female;0;naturalistic;usa;21;43;Indo-European;Germanic;5;503
876;english388;english388;bluefield, west virginia, usa;english;none;70;female;0;naturalistic;usa;70;43;Indo-European;Germanic;5;503
877;english389;english389;aldie, virginia, usa;english;none;71;female;0;naturalistic;usa;71;43;Indo-European;Germanic;5;503
878;english390;english390;milwaukee, wisconsin, usa;english;mandarin taiwanese;74;male;0;naturalistic;usa;67;43;Indo-European;Germanic;5;503
879;english391;english391;milton, florida, usa;english;none;84;female;0;naturalistic;usa;84;43;Indo-European;Germanic;5;503
880;english392;english392;warrenton, virginia, usa;english;none;62;male;0;naturalistic;usa;62;43;Indo-European;Germanic;5;503
881;english393;english393;washington, district of columbia, usa;english;french;58;female;0;naturalistic;usa;58;43;Indo-European;Germanic;5;503
882;english394;english394;aiken, south carolina, usa;english;none;82;female;0;naturalistic;usa;82;43;Indo-European;Germanic;5;503
883;english395;english395;alexandria, virginia, usa;english;none;39;male;0;naturalistic;usa;39;43;Indo-European;Germanic;5;503
884;english396;english396;orange, virginia, usa;english;none;48;female;0;naturalistic;usa;48;43;Indo-European;Germanic;5;503
885;english397;english397;wadesboro, north carolina, usa;english;none;76;female;0;naturalistic;usa;76;43;Indo-European;Germanic;5;503
886;english398;english398;salisbury, north carolina, usa;english;none;83;female;0;naturalistic;usa;83;43;Indo-European;Germanic;5;503
887;english399;english399;la grange, georgia, usa;english;none;80;female;0;naturalistic;usa;80;43;Indo-European;Germanic;5;503
888;english400;english400;shanklin, isle of wight, uk;english;none;59;female;0;naturalistic;canada;55;43;Indo-European;Germanic;5;503
889;english401;english401;lucerne, switzerland;english;none;26;male;0;naturalistic;australia;26;43;Indo-European;Germanic;5;503
890;english402;english402;canberra, australia;english;none;26;female;0;naturalistic;australia;26;43;Indo-European;Germanic;5;503
891;english403;english403;sydney, australia;english;none;29;female;0;naturalistic;australia;29;43;Indo-European;Germanic;5;503
892;english404;english404;windsor, australia;english;italian japanese;29;male;0;naturalistic;australia;29;43;Indo-European;Germanic;5;503
893;english405;english405;geelong, australia;english;german indonesian;32;female;0;naturalistic;australia, usa;30;43;Indo-European;Germanic;5;503
894;english406;english406;pensacola, florida, usa;english;none;24;female;0;naturalistic;usa;24;43;Indo-European;Germanic;5;503
895;english407;english407;windsor, ontario, canada;english;maltese;47;male;0;naturalistic;canada;47;43;Indo-European;Germanic;5;503
896;english408;english408;lynwood, california, usa;english;spanish;64;male;0;naturalistic;usa;64;43;Indo-European;Germanic;5;503
897;english409;english409;maitland, australia;english;french;60;female;0;naturalistic;australia;60;43;Indo-European;Germanic;5;503
898;english410;english410;hamilton, new zealand;english;none;35;male;0;naturalistic;New Zealand, Australia;35;43;Indo-European;Germanic;5;503
899;english411;english411;washington, district of columbia, usa;english;spanish;26;female;0;naturalistic;usa;26;43;Indo-European;Germanic;5;503
900;english412;english412;washington, district of columbia, usa;english;german;31;female;0;naturalistic;usa;25;43;Indo-European;Germanic;5;503
901;english413;english413;manchester, england, uk;english;none;20;female;0;naturalistic;uk;20;43;Indo-European;Germanic;5;503
902;english414;english414;woonsocket, rhode island, usa;english;none;30;female;0;naturalistic;usa;30;43;Indo-European;Germanic;5;503
903;english415;english415;woonsocket, rhode island, usa;english;none;32;male;0;naturalistic;usa;32;43;Indo-European;Germanic;5;503
904;english416;english416;sydney, australia;english;portuguese;34;male;0;naturalistic;australia, usa;20;43;Indo-European;Germanic;5;503
905;english417;english417;cardiff, wales, uk;english;german;20;female;0;naturalistic;uk;20;43;Indo-European;Germanic;5;503
906;english418;english418;arlington, virginia;english;none;29;male;0;naturalistic;usa;29;43;Indo-European;Germanic;5;503
907;english419;english419;youngstown, ohio, usa;english;german gaelic;27;male;0;naturalistic;usa;27;43;Indo-European;Germanic;5;503
908;english420;english420;auckland, new zealand;english;none;21;male;0;naturalistic;new zealand;21;43;Indo-European;Germanic;5;503
909;english421;english421;landstuhl, germany;english;french mandarin;38;male;0;naturalistic;usa;25;43;Indo-European;Germanic;5;503
910;english422;english422;rochester, new york, usa;english;spanish;31;male;0;naturalistic;usa;31;43;Indo-European;Germanic;5;503
911;english423;english423;baltimore, maryland, usa;english;spanish german italian;24;female;0;naturalistic;usa;24;43;Indo-European;Germanic;5;503
912;english424;english424;danville, virginia, usa;english;none;75;male;0;naturalistic;usa;75;43;Indo-European;Germanic;5;503
913;english425;english425;danville, virginia, usa;english;none;31;male;0;naturalistic;usa;31;43;Indo-European;Germanic;5;503
914;english426;english426;florence, south carolina, usa;english;none;30;female;0;naturalistic;usa;30;43;Indo-European;Germanic;5;503
915;english427;english427;hanover, pennsylvania, usa;english;none;68;female;0;naturalistic;usa;68;43;Indo-European;Germanic;5;503
916;english428;english428;kingstree, south carolina, usa;english;none;55;female;0;naturalistic;usa;55;43;Indo-European;Germanic;5;503
917;english429;english429;philadelphia, pennsylvania, usa;english;german;19;female;0;naturalistic;usa;19;43;Indo-European;Germanic;5;503
918;english430;english430;melbourne, australia;english;none;23;female;0;naturalistic;australia;23;43;Indo-European;Germanic;5;503
919;english431;english431;green bay, wisconsin, usa;english;german;23;female;0;naturalistic;usa;23;43;Indo-European;Germanic;5;503
920;english432;english432;dublin, ireland;english;french spanish;22;female;0;naturalistic;ireland;21;43;Indo-European;Germanic;5;503
921;english433;english433;gladwin, michigan, usa;english;none;32;female;0;naturalistic;usa;32;43;Indo-European;Germanic;5;503
922;english434;english434;kansas city, kansas, usa;english;german;24;male;0;naturalistic;usa;24;43;Indo-European;Germanic;5;503
923;english435;english435;palm springs, california, usa;english;japanese;20;female;0;naturalistic;usa;17;43;Indo-European;Germanic;5;503
924;english436;english436;freeport, the bahamas;english;none;19;female;0;naturalistic;the bahamas;19;43;Indo-European;Germanic;5;503
925;english437;english437;cleveland, ohio, usa;english;french italian;21;male;0;naturalistic;usa;21;43;Indo-European;Germanic;5;503
926;english438;english438;houston, texas, usa;english;none;20;female;0;naturalistic;usa;20;43;Indo-European;Germanic;5;503
927;english439;english439;richmond, british columbia, canada;english;none;18;female;0;naturalistic;canada;18;43;Indo-European;Germanic;5;503
928;english440;english440;glasgow, scotland, uk;english;spanish;22;female;0;naturalistic;scotland;22;43;Indo-European;Germanic;5;503
929;english441;english441;oquawka, illinois, usa;english;french;19;female;0;naturalistic;usa;19;43;Indo-European;Germanic;5;503
930;english442;english442;salisbury mills, new york, usa;english;french spanish;23;male;0;naturalistic;usa;23;43;Indo-European;Germanic;5;503
931;english443;english443;fort collins, colorado, usa;english;french spanish;31;male;0;naturalistic;usa;31;43;Indo-European;Germanic;5;503
932;english444;english444;anniston, alabama, usa;english;spanish;24;male;0;naturalistic;usa;24;43;Indo-European;Germanic;5;503
933;english445;english445;san francisco, california, usa;english;mandarin;60;male;0;naturalistic;usa;59;43;Indo-European;Germanic;5;503
934;english446;english446;moorhead, minnesota, usa;english;none;23;female;0;naturalistic;usa;23;43;Indo-European;Germanic;5;503
935;english447;english447;hartford, connecticut, usa;english;french;21;male;0;naturalistic;usa;21;43;Indo-European;Germanic;5;503
936;english448;english448;isle of arran, scotland, uk;english;german;20;male;0;naturalistic;uk;20;43;Indo-European;Germanic;5;503
