speaker_id;file_name;birth_place;native_langs;other_langs;age;sex;age_of_english_onset;english_learning_method;english_residence;years_of_english_residence
801;english237;jeffersonville, ohio, usa;english;spanish;22;female;0;naturalistic;usa;22
802;english238;vancouver, british  columbia, canada;english;german french japanese;21;female;0;naturalistic;canada;21
803;english239;fort kobbe, panama;english;japanese punjabi;19;male;0;naturalistic;usa;18
804;french20;alma, quebec, canada;french;german spanish;23;male;12;academic;uk;2
805;tagalog6;quezon city, philippines;tagalog;none;20;male;4;academic;philippines;20
806;portuguese17;salinas, brazil;portuguese;spanish;18;male;15;naturalistic;usa;3
807;nepali3;dharan, nepal;nepali;hindi;36;male;4;academic;usa;10
808;bosnian3;sarajevo, bosnia and herzegovina;bosnian;none;25;female;12;academic;usa;1.5
809;kurdish3;sulaymaniyah, iraq;kurdish;none;33;female;12;academic;usa;10
810;spanish55;tandil, argentina;spanish;none;36;male;9;academic;usa;3.2
811;french21;amiens, france;french;spanish;20;male;9;academic;uk;0.5
812;portuguese18;almada, portugal;portuguese;french german spanish;50;female;12;academic;usa;10
813;greek6;igoumenitsa, greece;greek;none;62;female;12;academic;usa;44
814;icelandic3;reykjavik, iceland;icelandic;spanish danish;36;female;20;naturalistic;usa;7
815;english240;guelph, ontario, canada;english;french;26;male;0;naturalistic;canada;26
816;lithuanian4;klaipeda, lithuania;lithuanian;russian;23;female;12;academic;;0
817;english241;wanganui, new zealand;english;italian portuguese;52;female;0;naturalistic;new zealand;29
818;english242;laurel, mississippi, usa;english;none;77;female;0;naturalistic;usa;77
819;vlaams1;tervuren, belgium;vlaams;french german;24;male;7;naturalistic;;0
820;english243;fredericton, new brunswick, canada;english;french;27;male;0;naturalistic;canada;27
821;english244;san francisco, california, usa;english;spanish;23;male;0;naturalistic;usa;13
822;french22;ghent, belgium;french;german dutch arabic;78;female;16;academic;usa;18
823;french23;ghent, belgium;french;dutch italian greek;76;female;16;academic;;0
824;english245;pittsburgh, pennsylvania, usa;english;japanese spanish;25;male;0;naturalistic;usa;22
825;english246;los angeles, california, usa;english;none;32;male;0;naturalistic;usa;32
826;uyghur2;kashgar, china;uyghur;mandarin;34;female;32;naturalistic;usa;2
827;japanese10;hakodate, japan;japanese;none;26;female;12;academic;usa;4
828;taiwanese6;tai chung, taiwan;taiwanese;mandarin;33;female;13;academic;usa;2.5
829;portuguese19;florianopolis, brazil;portuguese;portuguese interlingua;32;male;4;naturalistic;brazil, canada, usa;32
830;nepali4;pokhara, nepal;nepali;hindi;25;male;5;academic;usa;2
831;russian18;komsomolsk-on-amur, russia;russian;german;23;male;13;academic;usa;1
832;french24;mostaganem, algeria;french;german;47;male;13;academic;;0
833;portuguese20;campinas, brazil;portuguese;none;21;male;10;academic;;0
834;russian19;zhezkazgan, kazakhstan;russian;german;40;male;17;academic;usa;7
835;english247;prince rupert, british columbia, canada;english;japanese;33;male;0;naturalistic;canada;25
836;punjabi4;moga, india;punjabi;hindi marathi;33;female;3;academic;australia;3
837;marathi3;bombay, india;marathi;hindi punjabi bengali;31;male;2;academic;australia;4
838;spanish56;monterrey, mexico;spanish;german french chinese;22;male;8;academic;;0
839;italian15;forli, italy;italian;french;48;male;15;academic;uk;6
840;english248;philadelphia, pennsylvania, usa;english;french;18;female;0;naturalistic;usa;18
841;polish9;ostroleka, poland;polish;none;23;female;15;academic;usa;1
842;polish10;wolanow, poland;polish;russian;30;female;15;academic;usa;6
843;polish11;warsaw, poland;polish;french dutch russian czech;56;female;10;academic;usa;5
844;ukrainian2;akhtyrka, ukraine;ukrainian;serbian;53;female;44;academic;usa;10
845;hindi5;hubballi, karnataka, india;hindi;sanskrit pali;64;female;10;academic;usa;40
846;hungarian5;budapest, hungary;hungarian;french;29;female;27;academic;usa;2
847;dutch6;brussels, belgium;dutch;french german;46;female;10;academic;usa;25
848;bulgarian8;sofia, bulgaria;bulgarian;russian;31;female;8;academic;usa;6
849;armenian3;yerevan, armenia;armenian;russian;54;female;12;academic;usa;6
850;english249;boston, massachusetts, usa;english;spanish;29;female;0;naturalistic;usa;29
851;yoruba4;lagos, nigeria;yoruba;none;46;male;12;academic;nigeria, usa;15
852;english250;chester, england, uk;english;none;19;male;0;naturalistic;uk;19
853;swiss german3;muri, aargau, switzerland;swiss german;german french italian;30;male;13;academic;scotland, egnland, canada;0.5
854;urdu4;kuwait city, kuwait;urdu;punjabi;29;male;4;academic;usa;0.5
855;english251;mt. kisco, new york, usa;english;french spanish italian japanese;21;male;0;naturalistic;usa;21
856;english252;san jose ca, california, usa;english;german;25;female;0;naturalistic;usa;25
857;english253;dublin, ireland;english;gaelic french;21;male;0;naturalistic;ireland;21
858;english254;eugene, oregon, usa;english;spanish;39;male;0;naturalistic;usa;39
859;english255;oamaru, new zealand;english;cantonese japanese;24;female;0;naturalistic;new zealand;24
860;french25;st. louis fr, france;french;german;20;male;12;academic;uk;0.1
861;english256;laurinburg, north carolina, usa;english;none;23;male;0;naturalistic;usa;23
862;cantonese15;qingyuan, guangdong, china;cantonese;hakka mandarin french;31;female;12;academic;usa;5.5
863;english257;san diego, california, usa;english;none;24;male;0;naturalistic;usa;24
864;ukrainian3;odessa, ukraine;ukrainian;russian german spanish polish czech;55;female;12;academic;usa;14
865;romanian12;chisinau, moldova;romanian;russian;38;female;12;academic;usa;7
866;hindi6;new delhi, india;hindi;punjabi;27;female;4;academic;usa;1
867;hindi7;allahabad, utter pardesh, india;hindi;bengali urdu;60;female;5;academic;usa;30
868;albanian4;mitrovice, kosovo;albanian;german serbian;33;male;28;academic;usa;5
869;english258;kilkenny, ireland;english;irish french german dutch spanish;24;male;0;naturalistic;ireland;23
870;english259;singapore, singapore;english;mandarin cantonese hokkien;23;male;0;naturalistic;singapore;23
871;english260;phoenix, arizona, usa;english;none;18;female;0;naturalistic;usa;18
872;mandarin18;taoyuan, taiwan;mandarin;hakka;29;female;13;academic;;0
873;finnish5;victoria, british columbia, canada;finnish;french;30;male;5;;canada;30
874;cantonese16;hong kong, china;cantonese;french;29;female;3;academic;usa, australia;4
875;english261;forestville, maryland, usa;english;spanish;59;female;0;naturalistic;usa;59
876;english262;naylor, maryland, usa;english;german;60;male;0;naturalistic;usa;60
877;kiswahili5;tanga, tanzania;kiswahili;none;56;female;4;naturalistic;uganda, usa;8.5
878;cantonese17;hong kong, china;cantonese;french mandarin japanese;26;female;3;academic;uk, usa;15
879;czech4;prague, czech republic;czech;serbian russian german slovak;57;female;15;academic;usa;16
880;hungarian6;budapest, hungary;hungarian;russian french german;38;female;14;academic;usa,uk;7
881;german16;bremen, germany;german;french italian dutch;31;female;11;academic;uk, usa;4
882;german17;frankfurt, germany;german;french dutch greek italian;53;female;10;academic;usa;8
883;polish12;warsaw, poland;polish;french russian;40;male;20;naturalistic;usa;6
884;english263;oak forest, illinois, usa;english;spanish;21;male;0;naturalistic;usa;21
885;cantonese18;hong kong, china;cantonese;mandarin japanese;19;male;3;academic;;0
886;spanish57;montevideo, uruguay;spanish;italian;33;male;11;academic;ireland, usa;6
887;kiswahili6;dar-es-salaam, tanzania;kiswahili;none;32;female;8;academic;usa;9
888;macedonian2;stip, macedonia;macedonian;bulgarian;24;male;15;academic;usa;2
889;english264;freemont, california, usa;english;french german;21;male;0;naturalistic;usa;21
890;english265;vancouver wa, washington, usa;english;korean german;31;male;0;naturalistic;usa;27
891;portuguese21;sao paulo, brazil;portuguese;german hungarian;23;male;17;academic;;0
892;korean14;kota kinabalu, malaysia;korean;german;22;female;8;academic;usa;4
893;german18;bad aussee, austria;german;spanish russian;29;male;6;academic;australia;7
894;serbian12;vranje, serbia;serbian;none;25;female;11;academic;usa;2
895;dutch7;amsterdam, netherlands;dutch;german french;68;male;10;academic;usa;4
896;dutch8;alphen aan de ryn, netherlands;dutch;spanish german french;35;female;12;academic;usa;0.1
897;dutch9;almelo, netherlands;dutch;german french;68;female;12;academic;usa;3
898;thai7;phrae, thailand;thai;french;26;female;10;academic;usa;2.8
899;english266;san diego, california, usa;english;french spanish;18;male;0;;usa;18
900;english267;leeds, uk;english;french;66;male;0;naturalistic;uk;66
901;english268;leeds, uk;english;french german;67;female;0;naturalistic;uk;67
902;english269;adelaide, australia;english;french;22;female;0;naturalistic;australia, uk, usa;22
903;english270;cape town, south africa;english;afrikaans french;29;male;0;naturalistic;south africa;29
904;english271;cape town, south africa;english;afrikaans french;32;female;0;naturalistic;south africa;32
905;english272;dallas, texas, usa;english;spanish;20;male;0;naturalistic;usa;20
906;spanish58;bogota, colombia;spanish;none;31;male;18;academic;usa;2
907;english273;blue bell, pennsylvania, usa;english;german;46;male;0;naturalistic;usa;46
908;spanish59;mayaguez, puerto rico;spanish;none;31;female;5;naturalistic;usa;26
909;english274;sydney, australia;english;hokkien mandarin;25;female;0;naturalistic;australia;25
910;hindi8;imphal, india;hindi;punjabi;19;male;8;academic;usa;0.75
911;russian20;kostanai, kazakhstan;russian;none;28;female;17;academic;;0
912;english275;clifton, new jersey, usa;english;none;20;female;0;naturalistic;usa;20
913;dutch10;essen, belgium;dutch;french german;39;male;12;naturalistic;;0
914;hainanese1;singapore, singapore;hainanese;mandarin;45;male;7;academic;australia;1
915;spanish60;santiago-dr, dominican republic;spanish;french;18;female;9;naturalistic;usa;10
916;mandarin19;qinzhou, guangxi, china;mandarin;none;27;male;13;academic;australia;0.33
917;french26;montreal, quebec, canada;french;spanish;27;female;11;naturalistic;usa, canada;4
918;english276;chattanooga, tennessee, usa;english;none;50;female;0;naturalistic;usa;50
919;english277;hudson, new york, usa;english;german;48;female;0;naturalistic;usa;42
920;arabic22;abu dhabi, united arab emirates;arabic;french hebrew;23;female;10;academic;;0
921;english278;augusta, georgia, usa;english;none;18;female;0;naturalistic;usa;18
922;english279;singapore, singapore;english;mandarin hainanese;30;female;0;naturalistic;singapore;30
923;bulgarian9;ruse, bulgaria;bulgarian;russian spanish;31;female;10;academic;usa;9
924;spanish61;azuaga, spain;spanish;french;67;male;39;naturalistic;usa;30
925;spanish62;buenos aires, argentina;spanish;italian french portuguese;63;female;19;academic;usa;41
926;turkish18;stuttgart, germany;turkish;german spanish;27;male;9;academic;usa;2
927;arabic23;al mahalla, egypt;arabic;italian farsi french hebrew;42;male;13;academic;usa;8
928;german19;offenbach, germany;german;latin;19;female;11;academic;usa;0.1
929;dutch11;brugge, belgium;dutch;french german italian czech;41;male;14;academic;usa;5
930;romanian13;babadag, romanian;romanian;spanish french portuguese;46;male;12;academic;uk, usa;14
931;mandarin20;ping tong, taiwan;mandarin;russian;40;female;12;academic;usa;5
932;french27;algiers, algeria;french;arabic haitian creole french;38;female;12;academic;usa;8
933;portuguese22;luanda, angola;portuguese;spanish italian french czech;43;female;17;naturalistic;usa;15
934;kiswahili7;dar-es-salaam, tanzania;kiswahili;french shona jamaican creole english;52;female;5;academic;uk, usa;27
935;english280;ramsey, isle of man;english;none;19;female;0;naturalistic;isle of man;19
936;german20;chur, switzerland;german;french italian spanish;41;male;16;academic;usa;0.5
937;english281;ramsey mn, minnesota, usa;english;french;23;male;0;naturalistic;usa;23
938;portuguese23;curitiba, brazil;portuguese;none;29;female;10;academic;south africa;1
939;english282;tampa, florida, usa;english;none;20;male;0;naturalistic;usa;20
940;ukrainian4;kiev, ukraine;ukrainian;russian;18;male;8;academic;;0
941;hebrew7;jerusalem, israel;hebrew;none;52;male;12;naturalistic;usa;40
942;italian16;mantua, italy;italian;german french;40;male;14;academic;usa;9
943;bosnian4;travnik, bosnia and herzegovina;bosnian;none;20;male;11;academic;usa;1.3
944;bosnian5;travnik, bosnia and herzegovina;bosnian;german;25;female;6;academic;usa;0.4
945;serbian13;teslic, bosnia and herzegovina;serbian;italian german;25;female;11;academic;usa;2.75
946;albanian5;vlore, albania;albanian;italian;31;male;11;academic;usa;8
947;armenian4;tbilisi, republic of georgia;armenian;russian;27;female;12;academic;usa;4.5
948;macedonian3;stip, macedonia;macedonian;bulgarian serbian croatian;24;male;11;academic;usa;0.2
949;macedonian4;stip, macedonia;macedonian;bulgarian serbian croatian;21;male;11;academic;uk, usa;2.75
950;croatian4;rijeka, croatia;croatian;italian;38;male;11;academic;usa;1
951;english283;pelham, new york, usa;english;spanish;18;male;0;naturalistic;usa;18
952;english284;gainesville, florida, usa;english;spanish;33;male;0;naturalistic;usa;33
953;urdu5;karachi, pakistan;urdu;none;23;male;12;academic;usa;8.5
954;russian21;moscow, russia;russian;none;46;female;10;academic;usa;11
955;ukrainian5;kiev, ukraine;ukrainian;russian;18;male;10;academic;;0
956;dutch12;oosterbeek, netherlands;dutch;german french;36;male;10;academic;usa;0.5
957;french28;port-au-prince, haiti;french;haitian creole french;35;female;11;naturalistic;usa;10
958;polish13;gryfino, western pomerania, poland;polish;german japanese spanish;22;male;14;naturalistic;canada, usa;1.3
959;spanish63;la coruna, spain;spanish;catalan italian german;32;female;10;academic;uk, usa;4
960;portuguese24;santos, brazil;portuguese;german spanish;22;female;11;academic;;0
961;english285;melbourne, australia;english;none;50;male;0;naturalistic;australia, hong kong, usa;50
962;spanish64;medellin, colombia;spanish;none;28;male;12;academic;;0
963;pashto3;kandahar, afghanistan;pashto;farsi urdu;36;female;7;naturalistic;usa;17
964;latvian2;riga, latvia;latvian;hindi;70;female;11;naturalistic;india, usa;57
965;bulgarian10;dobrich, bulgaria;bulgarian;russian german serbian greek;21;female;15;academic;usa;2.5
966;bulgarian11;dobrich, bulgaria;bulgarian;russian german;24;male;16;academic;usa;2.5
967;jamaican creole english1;cave valley, jamaica;jamaican creole english;none;69;male;7;naturalistic;jamaica, usa;69
968;dari3;kabul, afghanistan;dari;pashto urdu;20;male;12;academic;usa;8
969;bambara5;segou, mali;bambara;french;23;female;21;academic;usa;1
970;arabic24;cairo, egypt;arabic;none;40;male;7;academic;uk;3
971;turkish19;istanbul, turkey;turkish;arabic;25;male;18;academic;usa;0.7
972;portuguese25;rio de janeiro, brazil;portuguese;spanish;20;female;18;academic;usa;1
973;romanian14;costesti, moldova;romanian;russian;25;female;13;academic;usa;2
974;ga2;accra, ghana;ga;twi ewe;38;female;4;academic;usa;12
975;ewe2;accra, ghana;ewe;ga twi;37;female;5;academic;usa;12
976;ga3;accra, ghana;ga;ewe akan;60;female;5;academic;usa;1
977;english286;beaumont, texas, usa;english;french latin hebrew spanish;21;female;0;naturalistic;usa;21
978;kambaata1;hosanna, ethiopia;kambaata;hadiyya amharic;36;male;9;academic;usa;12
979;akan1;accra, ghana;akan;none;41;male;5;academic;ghana, usa;41
980;romanian15;bucharest, romania;romanian;italian french german spanish;27;female;8;naturalistic;;0
981;english287;singapore, singapore;english;cantonese mandarin japanese;27;female;0;naturalistic;singapore;27
982;english288;st. louis, missouri, usa;english;none;26;female;0;naturalistic;usa;26
983;english289;fairfax, virginia, usa;english;italian spanish latin french;19;female;0;naturalistic;usa;19
984;mandarin21;chengdu, sichuan, china;mandarin;none;38;female;9;academic;usa;13
985;amharic6;addis ababa, ethiopia;amharic;tigrigna;31;female;4;academic;usa;1
986;english290;duluth, georgia, usa;english;none;20;male;0;naturalistic;usa;20
987;bengali9;kolkata, india;bengali;hindi;61;female;12;academic;usa;0.5
988;serbian14;podgorica, montenegro;serbian;italian;26;female;20;academic;usa;1
989;amharic7;addis ababa, ethiopia;amharic;kiswahili;38;male;13;academic;kenya, usa;10
990;amharic8;addis ababa, ethiopia;amharic;arabic;30;female;12;academic;usa;20
991;amharic9;addis ababa, ethiopia;amharic;arabic;40;male;12;academic;kenya, usa;7
992;bafang2;douala, cameroon;bafang;french;38;male;6;academic;usa;5
993;sinhala4;katunayake, sri lanka;sinhala;none;40;male;15;academic;usa;20
994;russian22;riga, latvia;russian;none;30;male;11;academic;usa;19
995;italian17;turin, italy;italian;french spanish;28;male;14;naturalistic;usa;3
996;romanian16;bucharest, romania;romanian;german spanish;25;female;9;academic;usa;8.5
997;armenian5;yerevan, armenia;armenian;russian greek;21;female;15;academic;usa;0.5
998;amharic10;gonder, ethiopia;amharic;none;29;female;19;naturalistic;usa;10
999;moba1;mango, togo;moba;french ewe spanish;54;male;15;academic;usa;10
1000;fataluku1;lautem, timor-leste;fataluku;tetun-dili indonesian portuguese;39;male;13;academic;usa, australia;2.5
1001;tetun-dili1;baucau, timor-leste;tetun-dili;indonesian portuguese;37;female;25;academic;usa;13
1002;kambaata2;durame, ethiopia;kambaata;amharic hadiyya;51;male;7;academic;usa;11
1003;dutch13;zwolle, netherlands;dutch;german spanish chinese;33;female;10;academic;usa;0.5
1004;dutch14;zwolle, netherlands;dutch;german french italian;35;female;12;academic;;0
1005;korean15;pusan, south korea;korean;japanese;42;male;40;academic;usa;1
1006;korean16;nonsan, south korea;korean;none;30;female;13;academic;usa;0.2
1007;korean17;cheju-do, south korea;korean;none;21;male;8;academic;usa;0.3
1008;susu1;conakry, guinea;susu;french;24;male;18;academic;usa;1
1009;bengali10;dhaka, bangladesh;bengali;none;18;female;3;academic;usa;6
1010;pashto4;peshawar, pakistan;pashto;none;18;female;6;academic;canada, usa;11
1011;arabic25;ramun, israel (occupied territory);arabic;french spanish;38;male;5;naturalistic;usa;33
1012;arabic26;amman, jordan;arabic;none;43;female;14;academic;usa;28
1013;arabic27;jerusalem, israel;arabic;farsi hebrew;70;male;10;academic;usa;30
1014;urdu6;bangalore, india;urdu;none;24;female;3;academic;usa;8
1015;farsi11;kabul, afghanistan;farsi;none;32;female;4;naturalistic;usa;30
1016;gujarati5;bombay, india;gujarati;hindi marathi urdu;28;female;3;academic;usa;4
1017;hindi9;durgapur, west bengal, india;hindi;bengali;31;male;4;academic;usa;8
1018;bengali11;durgapur, west bengal, india;bengali;hindi;34;male;3.5;academic;usa;8
1019;mandarin22;haikou, hainan, china;mandarin;cantonese taiwanese;39;female;11;academic;usa;3
1020;chichewa1;mulanje, malawi;chichewa;yao tumbuka;42;male;7;academic;malawi, usa;42
1021;french29;cannes, france;french;italian spanish arabic;54;female;10;academic;usa;26
1022;hadiyya1;hosanna, ethiopia;hadiyya;amharic kambaata;51;male;12;academic;uk, usa;8.5
1023;french30;kinshasa, democratic republic of congo;french;dutch;37;male;12;academic;usa;12
1024;mongolian4;ulaanbaatar, mongolia;mongolian;chinese russian;19;male;15;academic;usa;1
1025;bosnian6;zenica, bosnia and herzegovina;bosnian;none;29;female;22;naturalistic;usa;8
1026;english291;belize city, belize;english;spanish creole dutch;18;male;0;naturalistic;belize, usa;18
1027;swedish9;uddevalla, sweden;swedish;spanish;20;male;10;academic;;0
1028;shilluk1;malakal, sudan;shilluk;arabic;42;male;12;academic;usa;10
1029;bari1;khartoum, sudan;bari;arabic kresh;34;male;6;academic;usa;6
1030;bari2;khartoum, sudan;bari;arabic;36;male;7;academic;usa;5
1031;kikongo2;kimulaza, uige, angola;kikongo;portuguese lingala spanish;56;male;28;academic;usa;28
1032;hadiyya2;hosanna, ethiopia;hadiyya;amharic;30;male;11;academic;usa;4
1033;kambaata3;hosanna, ethiopia;kambaata;hadiyya amharic;54;male;8;academic;uk, usa;14
1034;hausa1;kano, nigeria;hausa;arabic french;49;male;7;academic;nigeria, usa;28
1035;hausa2;bauchi, nigeria;hausa;none;46;male;10;academic;nigeria, usa;46
1036;hausa3;malumfashi, nigeria;hausa;none;47;female;6;academic;nigeria, usa;47
1037;fulfulde adamawa1;hong, adamawa, nigeria;fulfulde adamawa;kilba hausa;48;male;8;academic;nigeria, usa;48
1038;rwanda1;byumba, rwanda;rwanda;french kiswahili;45;male;16;academic;usa;14
1039;hausa4;kano, nigeria;hausa;none;62;male;10;academic;nigeria, uk, usa;62
1040;igbo3;lagos, nigeria;igbo;yoruba efik;35;male;5;academic;nigeria, usa;35
1041;kiswahili8;nyeri, kenya;kiswahili;kikuyu maasai kamba;42;female;3;naturalistic;kenya, usa;42
1042;oromo2;yabello, burana, ethiopia;oromo;amharic;33;male;10;academic;usa;5.5
1043;italian18;grugliasco, italy;italian;french;20;male;8;academic;uk;1
1044;mandarin23;kao-hsiung, taiwan;mandarin;cantonese taiwanese;46;female;13;academic;usa;22
1045;bavarian2;berchtesgaden, germany;bavarian;french dutch;52;female;10;academic;usa;15
1046;japanese11;toyama, japan;japanese;none;29;female;13;academic;usa;4.5
1047;hausa5;maine, niger;hausa;zarma fulani french;43;female;12;academic;niger, usa;13.5
1048;hausa6;kano, nigeria;hausa;none;48;male;6;academic;nigeria, usa;48
1049;kanuri1;kaduna, nigeria;kanuri;hausa babur;48;female;6;academic;nigeria, usa;48
1050;hausa7;sokoto, nigeria;hausa;serbian;52;male;7;academic;nigeria, usa;52
1051;english292;kansas city, missouri, usa;english;none;38;male;0;naturalistic;usa;38
1052;english293;billings, montana, usa;english;none;22;female;0;naturalistic;usa;22
1053;slovenian2;ljubljana, slovenia;slovenian;german spanish serbian croatian;20;male;4;academic;usa;7
1054;indonesian5;jakarta, indonesia;indonesian;malay;29;male;7;academic;new zealand, usa;5
1055;thai8;bangkok, thailand;thai;none;37;male;25;academic;usa;4
1056;ukrainian6;priluki, ukraine;ukrainian;russian french;22;female;11;academic;usa;3
1057;russian23;zaporizhzhya, ukraine;russian;ukrainian spanish german;21;female;5;academic;usa;2
1058;bosnian7;gornji vakuf, bosnia and herzegovina;bosnian;german;24;female;10;academic;usa;1.3
1059;georgian5;tbilisi, republic of georgia;georgian;russian;24;male;21;academic;usa;1
1060;english294;naracoorte, australia;english;indonesian french;19;female;0;naturalistic;australia, usa;19
1061;urdu7;islamabad, pakistan;urdu;none;23;male;5;academic;usa;13
1062;french31;paris, france;french;ewe cotocoli kabye mina losso;28;male;15;academic;usa;7
1063;croatian5;tomislavgrad, bosnia and herzegovina;croatian;german;26;female;11;academic;usa;0.2
1064;german21;villach, austria;german;italian;20;female;10;academic;usa;1.2
1065;swedish10;lidkoping, sweden;swedish;german spanish;19;female;9;academic;usa;0.1
1066;czech5;klando, czech republic;czech;german slovak polish croatian;26;female;16;academic;uk, usa;0.8
1067;english295;airdrie, alberta, canada;english;french german italian;25;male;0;naturalistic;canada;25
1068;filipino1;quezon city, philippines;filipino;german spanish;23;male;4;naturalistic;usa;2
1069;spanish65;barranquilla, colombia;spanish;none;32;male;12;naturalistic;usa;20
1070;english296;edmonton, alberta, canada;english;french;18;female;0;naturalistic;canada;18
1071;english297;lindenhurst, new york, usa;english;german;19;male;0;naturalistic;usa;19
1072;english298;lismore, new south wales, australia;english;none;22;male;0;naturalistic;australia;22
1073;russian24;sochi, russia;russian;german;33;female;19;academic;new zealand, australia;8.5
1074;hebrew8;jerusalem, israel;hebrew;italian spanish french;28;male;7;naturalistic;;0
1075;english299;windsor, ontario, canada;english;japanese;59;male;0;naturalistic;usa;59
1076;english300;dublin, ireland;english;irish;18;male;0;naturalistic;ireland;18
1077;spanish66;san salvador, el salvador;spanish;none;30;male;12;naturalistic;canada;18
1078;english301;toronto, ontario, canada;english;none;41;male;0;naturalistic;canada;41
1079;serbian15;tuzla, bosnia and herzegovina;serbian;none;26;female;15;academic;usa;0.7
1080;french32;kabinda, democratic republic of congo;french;dutch;60;male;16;academic;;0
1081;albanian6;prishtina, kosovo;albanian;serbian;25;female;11;academic;usa;10
1082;bosnian8;sarajevo, bosnia and herzegovina;bosnian;spanish;24;female;15;academic;usa;1.5
1083;croatian6;doboj, bosnia and herzegovina;croatian;german;23;female;14;academic;usa;0.75
1084;oriya2;orissa, india;oriya;hindi;32;male;6;academic;usa;3
1085;english302;melbourne, australia;english;finnish;22;male;0;naturalistic;australia;22
1086;english303;anaheim, california, usa;english;arabic;45;female;0;naturalistic;usa;45
1087;khmer4;phnom penh, cambodia;khmer;none;31;male;16;academic;usa;15
1088;english304;clare, ireland;english;irish french;20;female;0;naturalistic;ireland;20
1089;mandarin24;shanghai, china;mandarin;none;21;female;10;academic;;0
1090;gedeo1;dilla, ethiopia;gedeo;oromo amharic italian german;51;male;9;academic;usa;7
1091;ukrainian7;kiev, ukraine;ukrainian;russian german;18;male;8;academic;;0
1092;german22;elsterwerda, germany;german;russian;21;female;12;academic;usa;2.5
1093;english306;london, uk;english;none;24;female;0;naturalistic;uk, usa;24
1094;english305;la paz, bolivia;english;arabic spanish;24;female;0;naturalistic;uk, usa;7
1095;krio3;freetown, sierra leone;krio;french susu arabic;21;female;5;naturalistic;sierra leone, usa;18
1096;russian25;orhei, moldova;russian;ukrainian romanian french;58;female;41;academic;usa;18
1097;russian26;chisinau, moldova;russian;none;23;female;17;academic;usa;5
1098;kurdish4;kirkuk, iraq;kurdish;arabic farsi;30;male;9;academic;usa;1
1099;romanian17;chisinau, moldova;romanian;russian;55;female;48;naturalistic;usa;10
1100;english307;alexandria, va, usa;english;spanish;48;male;0;naturalistic;usa, new zealand;48
1101;english308;cardiff, wales, uk;english;welsh;34;male;0;naturalistic;uk, new zealand;34
1102;greek7;athens, greece;greek;french;18;male;4;naturalistic;uk;0.25
1103;thai9;bangkok, thailand;thai;none;18;female;6;academic;;0
1104;nama1;rehoboth, namibia;nama;afrikaans;44;male;12;academic;namibia, usa;44
1105;english309;dunedin, new zealand;english;german french maori japanese;44;female;0;naturalistic;new zealand;44
1106;krio4;freetown, sierra leone;krio;temne french fulani;48;female;7;academic;usa;30
1107;tigrigna5;asmara, eritrea;tigrigna;arabic amharic;45;male;10;academic;uk;27
1108;english310;oxford, uk;english;punjabi;37;female;0;naturalistic;uk, usa;22
1109;portuguese26;campo grande, brazil;portuguese;spanish;25;female;10;academic;usa;6
1110;english311;detroit, michigan, usa;english;none;38;female;0;naturalistic;usa;38
1111;spanish67;santa marta, colombia;spanish;french;48;female;14;academic;usa;4
1112;farsi12;kerman, iran;farsi;none;42;male;11;academic;canada;25
1113;english312;edmonton, alberta, canada;english;french;40;female;0;naturalistic;canada;40
1114;italian19;rome, italy;italian;french;19;male;11;academic;;0
1115;arabic28;al-ayn, united arab emirates;arabic;none;30;male;12;academic;usa;1
1116;arabic29;doha, qatar;arabic;none;19;male;17;academic;usa;0.3
1117;korean18;seoul, south korea;korean;spanish;25;male;7;academic;usa;12
1118;korean19;seoul, south korea;korean;none;21;female;14;academic;usa;0.9
1119;english313;silver spring, maryland, usa;english;spanish;28;male;0;naturalistic;usa;28
1120;english314;memphis, tennessee, usa;english;french;26;female;0;naturalistic;usa;26
1121;english315;los angeles, california, usa;english;none;25;male;0;naturalistic;usa;25
1122;english316;sacramento, california, usa;english;none;33;male;0;naturalistic;usa;33
1123;italian20;naples, italy;italian;none;32;male;15;academic;usa;15.5
1124;italian21;trento, italy;italian;french;42;male;20;academic;usa, australia;12
1125;mandarin25;wuxi, jiangsu, china;mandarin;german;28;female;13;academic;usa;0.8
1126;korean20;inchon, south korea;korean;none;58;female;13;academic;usa;38
1127;french33;montreal, quebec, canada;french;german korean;62;male;10;academic;canada, usa;62
1128;portuguese27;sao paulo, brazil;portuguese;italian;33;female;8;academic;uk;0.2
1129;amharic11;addis ababa, ethiopia;amharic;harari;24;female;17;academic;usa;9
1130;amharic12;addis ababa, ethiopia;amharic;none;26;female;15;academic;usa;10
1131;amharic13;addis ababa, ethiopia;amharic;none;28;female;6;academic;usa;9
1132;english317;burlington, vermont, usa;english;none;26;male;0;naturalistic;usa;26
1133;arabic30;riyadh, saudi arabia;arabic;none;19;female;8;naturalistic;usa;11
1134;vietnamese9;ho chi minh city, vietnam;vietnamese;japanese;20;male;14;academic;usa;4
1135;mongolian5;sofia, bulgaria;mongolian;russian;23;male;9;academic;usa;9
1136;hausa8;katsina, nigeria;hausa;arabic fulani;30;male;7;academic;usa;4
1137;english318;sarnia, ontario, canada;english;none;46;male;0;naturalistic;canada;46
1138;english319;grimsby, lincolnshire, uk;english;none;29;male;0;naturalistic;uk;29
1139;hungarian7;budapest, hungary;hungarian;german;57;female;17;naturalistic;usa;40
1140;krio5;freetown, sierra leone;krio;oku;36;male;6;naturalistic;sierra leone, usa;26
