,speaker_id,file_name,sample_name,birth_place,native_langs,other_langs,age,sex,age_of_english_onset,english_learning_method,english_residence,years_of_english_residence,class_labels,primary_lang_group,secondary_lang_group,primary_lang_group_id,secondary_lang_group_id
444,1003,dutch13,dutch13,"zwolle, netherlands",dutch,german spanish chinese,33.0,female,10.0,academic,usa,0.5,40,Indo-European,Germanic,5,503
445,1004,dutch14,dutch14,"zwolle, netherlands",dutch,german french italian,35.0,female,12.0,academic,,0.0,40,Indo-European,Germanic,5,503
446,1223,dutch15,dutch15,"nunspeet, netherlands",dutch,afrikaans low saxon,23.0,male,10.0,naturalistic,south africa,9.0,40,Indo-European,Germanic,5,503
447,1260,dutch16,dutch16,"antwerp, belgium",dutch,french german,23.0,female,12.0,academic,,0.0,40,Indo-European,Germanic,5,503
448,1261,dutch17,dutch17,"wilrijk, belgium",dutch,french spanish german,21.0,female,12.0,academic,,0.0,40,Indo-European,Germanic,5,503
449,1262,dutch18,dutch18,"antwerp, belgium",dutch,french,23.0,male,14.0,academic,,0.0,40,Indo-European,Germanic,5,503
450,1263,dutch19,dutch19,"heist-op-den-berg, belgium",dutch,french spanish,22.0,female,11.0,academic,,0.0,40,Indo-European,Germanic,5,503
451,1264,dutch20,dutch20,"vlaams-brabant, belgium",dutch,french german,21.0,female,13.0,academic,usa,0.75,40,Indo-European,Germanic,5,503
452,1265,dutch21,dutch21,"diest, belgium",dutch,french,21.0,female,13.0,academic,,0.0,40,Indo-European,Germanic,5,503
453,1266,dutch22,dutch22,"essen, belgium",dutch,french german,23.0,female,13.0,academic,,0.0,40,Indo-European,Germanic,5,503
454,1268,dutch23,dutch23,"antwerp, belgium",dutch,french german,23.0,male,13.0,academic,,0.0,40,Indo-European,Germanic,5,503
455,1269,dutch24,dutch24,"seoul, south korea",dutch,none,23.0,female,14.0,academic,,0.0,40,Indo-European,Germanic,5,503
456,1270,dutch25,dutch25,"wilrijk, belgium",dutch,french german mandarin,23.0,female,13.0,academic,,0.0,40,Indo-European,Germanic,5,503
457,1271,dutch26,dutch26,"turnhout, belgium",dutch,french german italian,23.0,female,13.0,academic,,0.0,40,Indo-European,Germanic,5,503
458,1274,dutch27,dutch27,"antwerp, belgium",dutch,french german,21.0,female,13.0,academic,usa,1.0,40,Indo-European,Germanic,5,503
459,1275,dutch28,dutch28,"antwerp, belgium",dutch,french german,22.0,male,8.0,naturalistic,,0.0,40,Indo-European,Germanic,5,503
460,1300,dutch29,dutch29,"ede, netherlands",dutch,german french,29.0,male,7.0,academic,,0.0,40,Indo-European,Germanic,5,503
461,1462,dutch30,dutch30,"sint-niklaas, belgium",dutch,french,21.0,female,14.0,academic,,0.0,40,Indo-European,Germanic,5,503
462,1463,dutch31,dutch31,"antwerp, belgium",dutch,french,23.0,female,13.0,academic,,0.0,40,Indo-European,Germanic,5,503
463,1464,dutch32,dutch32,"brasschaat, belgium",dutch,french german spanish,21.0,male,14.0,academic,,0.0,40,Indo-European,Germanic,5,503
464,1466,dutch33,dutch33,"mechelen, belgium",dutch,french,22.0,female,9.0,naturalistic,,0.0,40,Indo-European,Germanic,5,503
465,1468,dutch34,dutch34,"bornem, belgium",dutch,french,22.0,female,14.0,academic,,0.0,40,Indo-European,Germanic,5,503
466,1473,dutch35,dutch35,"mortsel, belgium",dutch,french,21.0,female,13.0,academic,,0.0,40,Indo-European,Germanic,5,503
467,1476,dutch36,dutch36,"turnhout, belgium",dutch,french german swedish,21.0,female,12.0,academic,,0.0,40,Indo-European,Germanic,5,503
468,1479,dutch37,dutch37,"antwerp, belgium",dutch,french german,21.0,female,11.0,academic,,0.0,40,Indo-European,Germanic,5,503
469,1481,dutch38,dutch38,"beveren, belgium",dutch,french german,21.0,female,12.0,academic,,0.0,40,Indo-European,Germanic,5,503
470,1482,dutch39,dutch39,"hardinxveld-giessendam, netherlands",dutch,german french,22.0,female,10.0,academic,,0.0,40,Indo-European,Germanic,5,503
471,1484,dutch40,dutch40,"dordrecht, netherlands",dutch,german french,25.0,male,9.0,academic,,0.0,40,Indo-European,Germanic,5,503
472,1517,dutch41,dutch41,"deventer, netherlands",dutch,french german,41.0,male,13.0,academic,usa,3.0,40,Indo-European,Germanic,5,503
473,1551,dutch42,dutch42,"schiedam, netherlands",dutch,french german,36.0,male,8.0,academic,usa,13.5,40,Indo-European,Germanic,5,503
474,1705,dutch43,dutch43,"rotterdam, netherlands",dutch,french german,21.0,male,11.0,academic,usa,0.5,40,Indo-European,Germanic,5,503
475,1740,dutch44,dutch44,"antwerp, belgium",dutch,german french spanish,21.0,female,12.0,academic,,0.0,40,Indo-European,Germanic,5,503
476,1742,dutch45,dutch45,"sint niklaas, belgium",dutch,french latin german spanish hebrew,22.0,male,2.0,naturalistic,,0.0,40,Indo-European,Germanic,5,503
477,1743,dutch46,dutch46,"hulshout, belgium",dutch,french german,22.0,female,12.0,academic,,0.0,40,Indo-European,Germanic,5,503
478,2115,dutch47,dutch47,"gouda, netherlands",dutch,german french italian spanish,37.0,female,11.0,academic,"usa, uk, australia, south africa",2.5,40,Indo-European,Germanic,5,503
479,2248,dutch48,dutch48,"zwolle, netherlands",dutch,german french,50.0,male,12.0,academic,usa,6.0,40,Indo-European,Germanic,5,503
480,2249,dutch49,dutch49,"velsen, netherlands",dutch,german french,42.0,female,12.0,academic,usa,6.0,40,Indo-European,Germanic,5,503
481,2261,dutch50,dutch50,"tilburg, netherlands",dutch,frisian afrikaans german french esperanto,35.0,male,9.5,academic,,0.0,40,Indo-European,Germanic,5,503
482,2776,dutch51,dutch51,"deventer, netherlands",dutch,german french,49.0,male,13.0,academic,usa,10.0,40,Indo-European,Germanic,5,503
483,2819,dutch52,dutch52,"amsterdam, netherlands",dutch,french german arabic,20.0,female,10.0,academic,usa,1.5,40,Indo-European,Germanic,5,503
484,2982,dutch53,dutch53,"delft, netherlands",dutch,german french spanish,58.0,female,10.0,academic,usa,35.0,40,Indo-European,Germanic,5,503
485,2989,dutch54,dutch54,"ghent, belgium",dutch,none,28.0,female,14.0,academic,usa,0.2,40,Indo-European,Germanic,5,503
488,61,english1,english1,"pittsburgh, pennsylvania, usa",english,mandarin,42.0,male,0.0,naturalistic,usa,41.0,43,Indo-European,Germanic,5,503
489,62,english10,english10,"davenport, iowa, usa",english,none,35.0,female,0.0,naturalistic,usa,35.0,43,Indo-European,Germanic,5,503
490,63,english100,english100,"miami, florida, usa",english,none,23.0,female,0.0,naturalistic,usa,23.0,43,Indo-European,Germanic,5,503
491,64,english101,english101,"toronto, ontario, canada",english,french mandarin,18.0,female,0.0,naturalistic,canada,18.0,43,Indo-European,Germanic,5,503
492,65,english102,english102,"torrington, connecticut, usa",english,none,22.0,male,0.0,naturalistic,usa,22.0,43,Indo-European,Germanic,5,503
493,66,english103,english103,"staten island, new york, usa",english,german,21.0,male,0.0,naturalistic,usa,21.0,43,Indo-European,Germanic,5,503
494,67,english104,english104,"youngstown, ohio, usa",english,spanish,18.0,female,0.0,naturalistic,usa,18.0,43,Indo-European,Germanic,5,503
495,68,english11,english11,"staffordshire, uk",english,french,35.0,female,0.0,naturalistic,uk,35.0,43,Indo-European,Germanic,5,503
496,69,english12,english12,"leicester, uk",english,french,71.0,female,0.0,naturalistic,uk,71.0,43,Indo-European,Germanic,5,503
497,70,english13,english13,"henley on thames, oxfordshire, uk",english,none,69.0,male,0.0,naturalistic,uk,69.0,43,Indo-European,Germanic,5,503
498,71,english14,english14,"belfast, northern ireland, uk",english,french,40.0,male,0.0,naturalistic,"uk,usa",40.0,43,Indo-European,Germanic,5,503
499,72,english15,english15,"norton, virginia, usa",english,none,7.0,female,0.0,naturalistic,usa,7.0,43,Indo-European,Germanic,5,503
500,73,english16,english16,"wise, virginia, usa",english,spanish,21.0,male,0.0,naturalistic,usa,21.0,43,Indo-European,Germanic,5,503
501,74,english17,english17,"darwin va, virginia, usa",english,none,79.0,male,0.0,naturalistic,usa,79.0,43,Indo-European,Germanic,5,503
502,75,english18,english18,"dickenson county, virginia, usa",english,none,39.0,female,0.0,naturalistic,usa,39.0,43,Indo-European,Germanic,5,503
503,76,english19,english19,"louisville, kentucky, usa",english,spanish,53.0,male,0.0,naturalistic,usa,53.0,43,Indo-European,Germanic,5,503
504,77,english2,english2,"birmingham, uk",english,german mandarin,30.0,female,0.0,naturalistic,uk,30.0,43,Indo-European,Germanic,5,503
505,78,english20,english20,"mt. holly, north carolina, usa",english,none,27.0,female,0.0,naturalistic,usa,27.0,43,Indo-European,Germanic,5,503
506,79,english21,english21,"boston, massachusetts, usa",english,italian,37.0,female,0.0,naturalistic,usa,37.0,43,Indo-European,Germanic,5,503
507,80,english22,english22,"panama city, panama",english,spanish,25.0,female,0.0,naturalistic,usa,5.0,43,Indo-European,Germanic,5,503
508,81,english23,english23,"englewood, tennessee, usa",english,none,43.0,male,0.0,naturalistic,usa,43.0,43,Indo-European,Germanic,5,503
509,82,english24,english24,"glasgow, scotland, uk",english,french,37.0,male,0.0,naturalistic,"uk,usa",37.0,43,Indo-European,Germanic,5,503
510,83,english25,english25,"atlanta, georgia, usa",english,none,57.0,male,0.0,naturalistic,usa,57.0,43,Indo-European,Germanic,5,503
511,84,english26,english26,"smith island, maryland, usa",english,none,71.0,male,0.0,naturalistic,usa,71.0,43,Indo-European,Germanic,5,503
512,85,english27,english27,"smith island, maryland, usa",english,none,37.0,female,0.0,naturalistic,usa,37.0,43,Indo-European,Germanic,5,503
513,86,english28,english28,"toronto, ontario, canada",english,french russian,54.0,male,0.0,naturalistic,canada,54.0,43,Indo-European,Germanic,5,503
514,87,english29,english29,"lindsay, ontario, canada",english,none,54.0,female,0.0,naturalistic,canada,54.0,43,Indo-European,Germanic,5,503
515,88,english3,english3,"brisbane, australia",english,none,26.0,female,0.0,naturalistic,australia,26.0,43,Indo-European,Germanic,5,503
516,89,english30,english30,"st. marys, ontario, canada",english,french swedish,30.0,female,0.0,naturalistic,canada,30.0,43,Indo-European,Germanic,5,503
517,90,english31,english31,"st. augustine, trinidad",english,none,31.0,female,0.0,naturalistic,"trinidad,usa",31.0,43,Indo-European,Germanic,5,503
518,91,english32,english32,"fresno, california, usa",english,none,50.0,female,0.0,naturalistic,usa,50.0,43,Indo-European,Germanic,5,503
519,92,english33,english33,"san diego, california, usa",english,none,21.0,male,0.0,naturalistic,usa,21.0,43,Indo-European,Germanic,5,503
520,93,english34,english34,"ronkonkoma, new york, usa",english,french,18.0,female,0.0,naturalistic,usa,18.0,43,Indo-European,Germanic,5,503
521,94,english35,english35,"milwaukee, wisconsin, usa",english,spanish,60.0,female,0.0,naturalistic,usa,60.0,43,Indo-European,Germanic,5,503
522,95,english36,english36,"arcadia, wisconsin, usa",english,none,60.0,male,0.0,naturalistic,usa,60.0,43,Indo-European,Germanic,5,503
523,96,english37,english37,"yole, india",english,hindi-urdu french,28.0,female,0.0,naturalistic,usa,7.0,43,Indo-European,Germanic,5,503
524,97,english38,english38,"littlehampton, uk",english,none,27.0,male,0.0,naturalistic,uk,27.0,43,Indo-European,Germanic,5,503
525,98,english39,english39,"new orleans, louisiana, usa",english,none,59.0,female,0.0,naturalistic,usa,59.0,43,Indo-European,Germanic,5,503
526,99,english4,english4,"saint annes bay, jamaica",english,spanish french,53.0,female,0.0,naturalistic,"jamaica,usa",53.0,43,Indo-European,Germanic,5,503
527,100,english40,english40,"dudley, uk",english,none,53.0,male,0.0,naturalistic,uk,53.0,43,Indo-European,Germanic,5,503
528,101,english41,english41,"wellington, new zealand",english,hebrew french,44.0,male,0.0,naturalistic,new zealand,21.0,43,Indo-European,Germanic,5,503
529,102,english42,english42,"nigel, south africa",english,afrikaans zulu,65.0,male,0.0,naturalistic,south africa,60.0,43,Indo-European,Germanic,5,503
530,103,english43,english43,"vancouver, british columbia, canada",english,none,47.0,male,0.0,naturalistic,canada,47.0,43,Indo-European,Germanic,5,503
531,104,english44,english44,"winston salem, north carolina, usa",english,spanish french,63.0,female,0.0,naturalistic,usa,63.0,43,Indo-European,Germanic,5,503
532,105,english45,english45,"pine bluff, arkansas, usa",english,none,52.0,male,0.0,naturalistic,usa,52.0,43,Indo-European,Germanic,5,503
533,106,english46,english46,"creswell, north carolina, usa",english,none,73.0,male,0.0,naturalistic,usa,73.0,43,Indo-European,Germanic,5,503
534,107,english47,english47,"plantersville, arkansas, usa",english,none,76.0,female,0.0,naturalistic,usa,76.0,43,Indo-European,Germanic,5,503
535,108,english48,english48,"port moresby, national capital district, papua new guinea",english,tok pisin igbo,26.0,male,0.0,naturalistic,"papua new guinea,uk,usa",26.0,43,Indo-European,Germanic,5,503
536,109,english49,english49,"castro valley, california, usa",english,none,43.0,male,0.0,naturalistic,usa,43.0,43,Indo-European,Germanic,5,503
537,110,english5,english5,"fairfax, virginia, usa",english,none,62.0,male,0.0,naturalistic,usa,62.0,43,Indo-European,Germanic,5,503
538,111,english50,english50,"baltic, south dakota, usa",english,french,29.0,female,0.0,naturalistic,usa,29.0,43,Indo-European,Germanic,5,503
539,112,english51,english51,"detroit, michigan, usa",english,italian,67.0,male,0.0,naturalistic,usa,67.0,43,Indo-European,Germanic,5,503
540,113,english52,english52,"calgary, alberta, canada",english,none,20.0,male,0.0,naturalistic,"canada, usa",20.0,43,Indo-European,Germanic,5,503
541,114,english53,english53,"syracuse, new york, usa",english,none,63.0,male,0.0,naturalistic,usa,63.0,43,Indo-European,Germanic,5,503
542,115,english54,english54,"new albany, indiana, usa",english,none,40.0,female,0.0,naturalistic,usa,40.0,43,Indo-European,Germanic,5,503
543,116,english55,english55,"st. louis, missouri, usa",english,none,53.0,female,0.0,naturalistic,usa,53.0,43,Indo-European,Germanic,5,503
544,117,english56,english56,"londonderry, northern ireland, uk",english,ulster scots,20.0,male,0.0,naturalistic,northern ireland,20.0,43,Indo-European,Germanic,5,503
545,118,english57,english57,"birmingham 1,uk",english,french spanish,34.0,male,0.0,naturalistic,"uk,canada",34.0,43,Indo-European,Germanic,5,503
546,119,english58,english58,"southhampton, uk",english,none,46.0,female,0.0,naturalistic,"uk,usa",16.0,43,Indo-European,Germanic,5,503
547,120,english59,english59,"columbus, ohio, usa",english,greek german,30.0,male,0.0,naturalistic,usa,30.0,43,Indo-European,Germanic,5,503
548,121,english6,english6,"brooklyn, new york, usa",english,french spanish,45.0,female,0.0,naturalistic,usa,45.0,43,Indo-European,Germanic,5,503
549,122,english60,english60,"chesapeake, virginia, usa",english,none,18.0,male,0.0,naturalistic,usa,18.0,43,Indo-European,Germanic,5,503
550,123,english61,english61,"toronto, ontario, canada",english,none,19.0,male,0.0,naturalistic,canada,19.0,43,Indo-European,Germanic,5,503
551,124,english62,english62,"west jordan, utah, usa",english,none,30.0,male,0.0,naturalistic,usa,30.0,43,Indo-European,Germanic,5,503
552,125,english63,english63,"lewisville, texas, usa",english,spanish,21.0,male,0.0,naturalistic,usa,21.0,43,Indo-European,Germanic,5,503
553,126,english64,english64,"montreal, quebec, canada",english,french,25.0,female,0.0,naturalistic,canada,25.0,43,Indo-European,Germanic,5,503
554,127,english65,english65,"lewistown, pennsylvania, usa",english,none,47.0,male,0.0,naturalistic,usa,47.0,43,Indo-European,Germanic,5,503
555,128,english66,english66,"baltimore, maryland, usa",english,none,19.0,male,0.0,naturalistic,usa,19.0,43,Indo-European,Germanic,5,503
556,129,english67,english67,"princeton, indiana, usa",english,french,37.0,male,0.0,naturalistic,usa,37.0,43,Indo-European,Germanic,5,503
557,130,english68,english68,"new york, new york, usa",english,none,52.0,male,0.0,naturalistic,usa,52.0,43,Indo-European,Germanic,5,503
558,131,english69,english69,"adelaide, australia",english,korean,23.0,male,0.0,naturalistic,australia,23.0,43,Indo-European,Germanic,5,503
559,132,english7,english7,"macon, mississippi, usa",english,spanish french,52.0,male,0.0,naturalistic,usa,52.0,43,Indo-European,Germanic,5,503
560,133,english70,english70,"beaumont, texas, usa",english,none,21.0,male,0.0,naturalistic,usa,21.0,43,Indo-European,Germanic,5,503
561,134,english71,english71,"west covina, california, usa",english,none,20.0,male,0.0,naturalistic,usa,20.0,43,Indo-European,Germanic,5,503
562,135,english72,english72,"kilkenny, ireland",english,irish,31.0,male,0.0,naturalistic,ireland,31.0,43,Indo-European,Germanic,5,503
563,136,english73,english73,"darwin, australia",english,none,24.0,male,0.0,naturalistic,australia,24.0,43,Indo-European,Germanic,5,503
564,137,english74,english74,"wichita, kansas, usa",english,spanish,21.0,male,0.0,naturalistic,usa,21.0,43,Indo-European,Germanic,5,503
565,138,english75,english75,"idaho falls, idaho, usa",english,none,32.0,male,0.0,naturalistic,usa,32.0,43,Indo-European,Germanic,5,503
566,139,english76,english76,"boston, massachusetts, usa",english,french spanish hebrew,18.0,female,0.0,naturalistic,usa,18.0,43,Indo-European,Germanic,5,503
567,140,english77,english77,"melbourne, australia",english,japanese,26.0,male,0.0,naturalistic,australia,26.0,43,Indo-European,Germanic,5,503
568,141,english78,english78,"caribou, maine, usa",english,french,20.0,female,0.0,naturalistic,usa,20.0,43,Indo-European,Germanic,5,503
569,142,english79,english79,"boston, massachusetts, usa",english,none,73.0,male,0.0,naturalistic,usa,73.0,43,Indo-European,Germanic,5,503
570,143,english8,english8,"perth, australia",english,french,21.0,female,0.0,naturalistic,"australia,usa",4.0,43,Indo-European,Germanic,5,503
571,144,english80,english80,"glasgow, scotland, uk",english,none,34.0,male,0.0,naturalistic,"uk, canada",34.0,43,Indo-European,Germanic,5,503
572,145,english81,english81,"st. paul, minnesota, usa",english,spanish,30.0,male,0.0,naturalistic,usa,30.0,43,Indo-European,Germanic,5,503
573,146,english82,english82,"chicago, illinois, usa",english,none,50.0,female,0.0,naturalistic,usa,50.0,43,Indo-European,Germanic,5,503
574,147,english83,english83,"winnfield, louisiana, usa",english,french,42.0,female,0.0,naturalistic,usa,42.0,43,Indo-European,Germanic,5,503
575,148,english84,english84,"sydney, australia",english,tok pisin,45.0,male,0.0,naturalistic,australia,45.0,43,Indo-European,Germanic,5,503
576,149,english85,english85,"strabane, northern ireland, uk",english,none,31.0,male,0.0,naturalistic,uk,31.0,43,Indo-European,Germanic,5,503
577,150,english86,english86,"charleston, south carolina, usa",english,spanish,50.0,male,0.0,naturalistic,usa,50.0,43,Indo-European,Germanic,5,503
578,151,english87,english87,"tamworth, australia",english,esperanto german,18.0,female,0.0,naturalistic,australia,18.0,43,Indo-European,Germanic,5,503
579,152,english88,english88,"grand rapids, michigan, usa",english,none,18.0,male,0.0,naturalistic,usa,18.0,43,Indo-European,Germanic,5,503
580,153,english89,english89,"kingston ma, massachusetts, usa",english,spanish,18.0,male,0.0,naturalistic,usa,18.0,43,Indo-European,Germanic,5,503
581,154,english9,english9,"carthage, texas, usa",english,spanish,48.0,female,0.0,naturalistic,usa,48.0,43,Indo-European,Germanic,5,503
582,155,english90,english90,"pittsburgh, pennsylvania, usa",english,none,53.0,male,0.0,naturalistic,usa,53.0,43,Indo-European,Germanic,5,503
583,156,english91,english91,"kingston, jamaica",english,patois,23.0,male,0.0,naturalistic,jamaica,23.0,43,Indo-European,Germanic,5,503
584,157,english92,english92,"wisconsin rapids, wisconsin, usa",english,none,22.0,female,0.0,naturalistic,usa,22.0,43,Indo-European,Germanic,5,503
585,158,english93,english93,"mamou, louisiana, usa",english,none,22.0,female,0.0,naturalistic,usa,22.0,43,Indo-European,Germanic,5,503
586,159,english94,english94,"pensacola, florida, usa",english,none,55.0,female,0.0,naturalistic,usa,55.0,43,Indo-European,Germanic,5,503
587,160,english95,english95,"mishawaka, indiana, usa",english,none,18.0,male,0.0,naturalistic,usa,18.0,43,Indo-European,Germanic,5,503
588,161,english96,english96,"point pleasant, new jersey, usa",english,russian,31.0,male,0.0,naturalistic,usa,31.0,43,Indo-European,Germanic,5,503
589,162,english97,english97,"wilmington nc, north carolina, usa",english,spanish,42.0,male,0.0,naturalistic,usa,42.0,43,Indo-European,Germanic,5,503
590,163,english98,english98,"spokane, washington, usa",english,spanish,22.0,male,0.0,naturalistic,usa,22.0,43,Indo-European,Germanic,5,503
591,164,english99,english99,"pittsburgh, pennsylvania, usa",english,french spanish,52.0,female,0.0,naturalistic,usa,52.0,43,Indo-European,Germanic,5,503
592,407,english105,english105,"windsor, ontario, canada",english,none,57.0,male,0.0,naturalistic,canada,57.0,43,Indo-European,Germanic,5,503
593,408,english106,english106,"los angeles, california, usa",english,spanish,39.0,female,0.0,naturalistic,usa,39.0,43,Indo-European,Germanic,5,503
594,416,english107,english107,"chicago, illinois, usa",english,spanish,19.0,male,0.0,naturalistic,usa,19.0,43,Indo-European,Germanic,5,503
595,419,english108,english108,"strabane, northern ireland, uk",english,dutch french german spanish,21.0,male,0.0,naturalistic,uk,21.5,43,Indo-European,Germanic,5,503
596,420,english109,english109,"concord, new hampshire, usa",english,irish,26.0,female,0.0,naturalistic,usa,26.0,43,Indo-European,Germanic,5,503
597,421,english110,english110,"great yarmouth, norfolk, uk",english,japanese,21.0,male,0.0,naturalistic,uk,0.0,43,Indo-European,Germanic,5,503
598,426,english111,english111,"bombay, india",english,hindi-urdu french,21.0,male,0.0,naturalistic,"india, usa",4.0,43,Indo-European,Germanic,5,503
599,427,english112,english112,"st. thomas, us virgin islands",english,french,21.0,male,0.0,naturalistic,us virgin islands,21.0,43,Indo-European,Germanic,5,503
600,439,english113,english113,"wrexham, wales, uk",english,french welsh,31.0,male,0.0,naturalistic,"wales, australia",31.0,43,Indo-European,Germanic,5,503
601,442,english114,english114,"birmingham 2,alabama, usa",english,none,38.0,female,0.0,naturalistic,usa,38.0,43,Indo-European,Germanic,5,503
602,443,english115,english115,"st. albans, hertfordshire, uk",english,none,31.0,male,0.0,naturalistic,uk,31.0,43,Indo-European,Germanic,5,503
603,444,english116,english116,"atlanta, georgia, usa",english,none,56.0,male,0.0,naturalistic,usa,56.0,43,Indo-European,Germanic,5,503
604,445,english117,english117,"elmore, alabama, usa",english,none,60.0,female,0.0,naturalistic,usa,60.0,43,Indo-European,Germanic,5,503
605,446,english118,english118,"akron, ohio, usa",english,none,19.0,male,0.0,naturalistic,usa,17.0,43,Indo-European,Germanic,5,503
606,455,english119,english119,"saskatoon, saskatchewan, canada",english,none,32.0,female,0.0,naturalistic,canada,32.0,43,Indo-European,Germanic,5,503
607,456,english120,english120,"saskatoon, saskatchewan, canada",english,german,65.0,male,0.0,naturalistic,canada,65.0,43,Indo-European,Germanic,5,503
608,465,english121,english121,"waconia, minnesota, usa",english,french,21.0,male,0.0,naturalistic,usa,21.0,43,Indo-European,Germanic,5,503
609,468,english122,english122,"kuala lumpur, malaysia",english,mandarin japanese,20.0,female,0.0,naturalistic,"singapore,usa",13.0,43,Indo-European,Germanic,5,503
610,469,english123,english123,"riverside, california, usa",english,none,28.0,female,0.0,naturalistic,"usa, uk",23.0,43,Indo-European,Germanic,5,503
611,480,english124,english124,"brooklyn, new york, usa",english,none,38.0,male,0.0,naturalistic,usa,38.0,43,Indo-European,Germanic,5,503
612,485,english125,english125,"st. george, queensland, australia",english,none,28.0,male,0.0,naturalistic,australia,28.0,43,Indo-European,Germanic,5,503
613,487,english126,english126,"cincinnati, ohio, usa",english,spanish,34.0,female,0.0,naturalistic,usa,34.0,43,Indo-European,Germanic,5,503
614,489,english127,english127,"new britain, connecticut, usa",english,none,39.0,male,0.0,naturalistic,usa,39.0,43,Indo-European,Germanic,5,503
615,490,english128,english128,"miami, florida, usa",english,french,20.0,female,0.0,naturalistic,usa,20.0,43,Indo-European,Germanic,5,503
616,492,english129,english129,"blackpool, lancashire, uk",english,korean indonesian polish french,25.0,male,0.0,naturalistic,"uk, australia",25.0,43,Indo-European,Germanic,5,503
617,496,english130,english130,"port elizabeth, south africa",english,afrikaans,32.0,male,0.0,naturalistic,south africa,32.0,43,Indo-European,Germanic,5,503
618,497,english131,english131,"west palm beach, florida, usa",english,none,23.0,male,0.0,naturalistic,usa,23.0,43,Indo-European,Germanic,5,503
619,503,english132,english132,"toronto, ontario, canada",english,none,18.0,female,0.0,naturalistic,canada,18.0,43,Indo-European,Germanic,5,503
620,504,english133,english133,"norwich, new york, usa",english,spanish,36.0,female,0.0,naturalistic,usa,36.0,43,Indo-European,Germanic,5,503
621,506,english134,english134,"belfast, northern ireland, uk",english,french,22.0,female,0.0,naturalistic,uk,22.0,43,Indo-European,Germanic,5,503
622,507,english135,english135,"orange beach, alabama, usa",english,none,22.0,male,0.0,naturalistic,usa,22.0,43,Indo-European,Germanic,5,503
623,508,english136,english136,"calgary, alberta, canada",english,none,25.0,male,0.0,naturalistic,canada,25.0,43,Indo-European,Germanic,5,503
624,509,english137,english137,"charleston, west virginia, usa",english,japanese,26.0,male,0.0,naturalistic,usa,26.0,43,Indo-European,Germanic,5,503
625,510,english138,english138,"palmer, alaska, usa",english,german,25.0,female,0.0,naturalistic,usa,25.0,43,Indo-European,Germanic,5,503
626,511,english139,english139,"providence, rhode island, usa",english,none,20.0,male,0.0,naturalistic,usa,20.0,43,Indo-European,Germanic,5,503
627,515,english140,english140,"quezon city, philippines",english,tagalog,43.0,male,0.0,naturalistic,"philippines,canada",43.0,43,Indo-European,Germanic,5,503
628,516,english141,english141,"york, uk",english,french german,19.0,male,0.0,naturalistic,uk,19.0,43,Indo-European,Germanic,5,503
629,517,english142,english142,"avon, new york, usa",english,french,19.0,male,0.0,naturalistic,usa,19.0,43,Indo-European,Germanic,5,503
630,518,english143,english143,"minneapolis, minnesota, usa",english,french,42.0,male,0.0,naturalistic,"usa, uk",42.0,43,Indo-European,Germanic,5,503
631,519,english144,english144,"barneys river, nova scotia, canada",english,spanish,24.0,male,0.0,naturalistic,canada,24.0,43,Indo-European,Germanic,5,503
632,521,english145,english145,"bury st. edmunds, uk",english,none,18.0,male,0.0,naturalistic,uk,13.0,43,Indo-European,Germanic,5,503
633,522,english146,english146,"blytheville, arkansas, usa",english,spanish,22.0,male,0.0,naturalistic,usa,22.0,43,Indo-European,Germanic,5,503
634,523,english147,english147,"merced, california, usa",english,portuguese,40.0,female,0.0,naturalistic,usa,40.0,43,Indo-European,Germanic,5,503
635,525,english148,english148,"sydney, australia",english,none,31.0,male,0.0,naturalistic,australia,31.0,43,Indo-European,Germanic,5,503
636,526,english149,english149,"lawrenceville, georgia, usa",english,none,18.0,male,0.0,naturalistic,usa,18.0,43,Indo-European,Germanic,5,503
637,527,english150,english150,"brownsville, kentucky, usa",english,spanish,31.0,male,0.0,naturalistic,usa,31.0,43,Indo-European,Germanic,5,503
638,528,english151,english151,"baltimore, maryland, usa",english,spanish,18.0,male,0.0,naturalistic,usa,18.0,43,Indo-European,Germanic,5,503
639,529,english152,english152,"adelaide, australia",english,none,18.0,male,0.0,naturalistic,australia,18.0,43,Indo-European,Germanic,5,503
640,533,english153,english153,"brisbane, australia",english,none,35.0,male,0.0,naturalistic,australia,35.0,43,Indo-European,Germanic,5,503
641,534,english154,english154,"glace bay, nova scotia, canada",english,none,28.0,male,0.0,naturalistic,canada,28.0,43,Indo-European,Germanic,5,503
642,535,english155,english155,"oakland, california, usa",english,none,35.0,male,0.0,naturalistic,usa,35.0,43,Indo-European,Germanic,5,503
643,536,english156,english156,"dublin, ireland",english,mandarin french irish,33.0,male,0.0,naturalistic,ireland,33.0,43,Indo-European,Germanic,5,503
644,538,english157,english157,"fort worth, texas, usa",english,none,35.0,male,0.0,naturalistic,usa,35.0,43,Indo-European,Germanic,5,503
645,540,english158,english158,"washington, district of columbia, usa",english,spanish german,18.0,female,0.0,naturalistic,usa,18.0,43,Indo-European,Germanic,5,503
646,541,english159,english159,"ottawa, ontario, canada",english,none,18.0,male,0.0,naturalistic,canada,18.0,43,Indo-European,Germanic,5,503
647,542,english160,english160,"redwood falls, minnesota, usa",english,none,21.0,female,0.0,naturalistic,usa,21.0,43,Indo-European,Germanic,5,503
